PDE,BC,IC,Data
359.5151672363281,1435.815185546875,639.4610595703125,18.93492317199707
332.0529479980469,1435.749755859375,652.3189697265625,19.44164276123047
332.0529479980469,1435.749755859375,652.3189697265625,19.44164276123047
340.9471740722656,1403.923095703125,667.3416748046875,19.520334243774414
333.1026306152344,1402.97900390625,668.4417114257812,19.85001564025879
343.13201904296875,1385.343505859375,663.140625,20.389856338500977
324.1553039550781,1395.3756103515625,654.8140869140625,21.234710693359375
351.08087158203125,1371.76708984375,636.12158203125,21.946592330932617
353.5779113769531,1376.862548828125,619.9148559570312,22.105274200439453
367.6655578613281,1371.656005859375,600.20166015625,22.263622283935547
378.3007507324219,1374.5218505859375,582.468017578125,21.553752899169922
375.8678283691406,1358.9342041015625,582.34814453125,21.735870361328125
373.5167236328125,1319.04541015625,592.983642578125,23.150243759155273
364.5540466308594,1302.000732421875,606.0875854492188,23.862483978271484
360.989013671875,1300.0186767578125,604.44189453125,24.308181762695312
365.1980895996094,1290.978271484375,607.7007446289062,24.164661407470703
356.49078369140625,1291.2867431640625,611.5423583984375,24.170108795166016
359.9439697265625,1278.931396484375,610.9344482421875,24.40006446838379
362.08380126953125,1269.2874755859375,603.1714477539062,24.331993103027344
385.2049560546875,1242.9498291015625,573.3609619140625,25.217802047729492
392.3121337890625,1243.866943359375,548.0020141601562,24.938247680664062
387.6870422363281,1261.387451171875,523.9324951171875,25.080982208251953
427.4085388183594,1213.0999755859375,524.194091796875,25.61351776123047
427.4085388183594,1213.0999755859375,524.194091796875,25.61351776123047
378.8587646484375,1264.41748046875,526.5496826171875,24.658859252929688
390.3334655761719,1242.487060546875,529.0202026367188,25.01812171936035
393.7744140625,1226.41162109375,529.1829833984375,25.98893928527832
419.9408264160156,1178.8309326171875,536.31494140625,27.06287384033203
399.814697265625,1186.333251953125,535.110107421875,28.039310455322266
383.7114562988281,1191.595947265625,535.906005859375,28.385723114013672
381.5796203613281,1183.823486328125,531.3975830078125,28.92715835571289
389.71478271484375,1172.83447265625,525.941162109375,28.826745986938477
397.632080078125,1167.8453369140625,518.4600830078125,28.39046287536621
408.769287109375,1152.8011474609375,515.4584350585938,28.331676483154297
386.8074645996094,1189.5347900390625,507.59490966796875,26.7833251953125
382.9078369140625,1187.3052978515625,502.1952819824219,26.795616149902344
371.1656188964844,1189.3262939453125,503.30670166015625,26.28331184387207
381.1435241699219,1170.6141357421875,496.8573303222656,26.816579818725586
383.0947265625,1154.57373046875,490.94952392578125,27.732742309570312
384.7423095703125,1123.8514404296875,491.45074462890625,29.489898681640625
379.5392150878906,1085.0672607421875,495.509033203125,31.24655532836914
403.50592041015625,1007.903076171875,502.569580078125,34.04825210571289
321.25048828125,1054.8155517578125,520.8629760742188,34.20195007324219
348.32379150390625,1045.4385986328125,509.17474365234375,32.400943756103516
348.32379150390625,1045.4385986328125,509.17474365234375,32.400943756103516
424.1702880859375,989.6347045898438,482.30084228515625,33.79074478149414
377.1375427246094,1016.8172607421875,497.5543212890625,32.8422966003418
350.063720703125,1073.331787109375,472.41583251953125,31.74839210510254
348.9744567871094,1066.5211181640625,473.0828552246094,31.849285125732422
358.57012939453125,1053.8831787109375,466.2469482421875,31.92022132873535
375.0823059082031,1052.6004638671875,438.746337890625,31.60369873046875
389.3920593261719,1053.446533203125,410.7830810546875,31.709609985351562
352.86614990234375,1083.1612548828125,402.4425048828125,31.358762741088867
398.6268005371094,1026.060302734375,385.0087585449219,32.73087692260742
348.8095397949219,1071.2667236328125,373.03179931640625,32.18562698364258
369.4394836425781,1035.6766357421875,362.2311706542969,32.55527877807617
407.2248840332031,994.599365234375,333.39117431640625,34.46705627441406
371.37408447265625,1034.352783203125,328.78448486328125,33.2520637512207
376.0021667480469,1022.3799438476562,330.8363037109375,32.940673828125
372.0439758300781,1018.005615234375,328.35003662109375,33.00819778442383
389.372802734375,990.0205688476562,319.790771484375,33.572837829589844
348.28857421875,1021.6685791015625,315.86474609375,33.265357971191406
372.2087707519531,997.2147827148438,302.80694580078125,33.43350601196289
317.3471374511719,1032.8563232421875,314.77044677734375,33.92005157470703
347.9844970703125,1002.487060546875,303.4141540527344,34.21438217163086
340.8608093261719,1003.5423583984375,305.29644775390625,34.35239791870117
340.8608093261719,1003.5423583984375,305.29644775390625,34.35239791870117
341.558837890625,991.7496337890625,308.1207275390625,34.8726806640625
333.80303955078125,964.52099609375,311.82342529296875,36.59318161010742
345.060302734375,907.9295654296875,306.406982421875,39.32897186279297
299.8365478515625,953.1846313476562,301.062255859375,38.154205322265625
352.9825439453125,925.0621337890625,273.28668212890625,38.01673126220703
307.0569763183594,986.5283203125,267.6922607421875,35.8687629699707
312.3970642089844,971.3475952148438,267.9750061035156,36.248817443847656
313.9546813964844,963.1300659179688,262.34197998046875,36.630645751953125
324.0532531738281,941.2071533203125,248.94540405273438,37.612789154052734
298.8960876464844,960.1004638671875,246.8424530029297,37.11418151855469
287.5460510253906,957.84423828125,248.41641235351562,37.33040237426758
288.6177978515625,934.5277709960938,258.792236328125,37.851985931396484
291.800048828125,925.7584228515625,264.8778076171875,37.495235443115234
