x,y,z,T,label
0.04347506201279194,0.7494084792657426,0.40913997762479715,298.97749265879304,0
0.18149840959652408,0.7657055205022889,0.6017747558677085,298.8150587473397,0
0.23674487110439602,0.5524898579480353,0.9353813695664948,303.773285181195,0
0.24938757583221183,0.6992762533507704,0.4676402566265965,299.65361615999865,0
0.5712326517427727,0.958668836275838,0.19674218075063132,298.06328849260126,0
0.4162624257031923,0.8154161201823712,0.3772059828830039,298.4531021255242,0
0.04925411992759399,0.5887532912184837,0.3941069825931186,302.4124983980975,0
0.3736141384595716,0.6694278178048025,0.13110869302621986,300.20804500799807,0
0.5237529487176372,0.5958015048313499,0.1628715005545549,302.17512359428576,0
0.10167190290371597,0.5124115658992863,0.6845620733936773,305.53623264898056,0
0.8334585537885597,0.9637302292520133,0.3394777542089027,298.05859497381346,0
0.051961866465104256,0.7241036641284357,0.9548983918558076,299.28259550871826,0
0.9248418690180621,0.6537675362103931,0.24359674535860742,300.55150276288714,0
0.0991131415798755,0.7992385957788684,0.09892450510482231,298.5514871872223,0
0.8435749515977528,0.5036572281465078,0.7535045630002579,305.9538425498399,0
0.9026531439276171,0.639011053300407,0.88103605191787,300.91079204439825,0
0.9795706805865927,0.8515167328494463,0.27811335687148786,298.2867890765646,0
0.8020258802735936,0.8168848865346314,0.20208810164547797,298.44497491962636,0
0.7794775407713289,0.9909029737712678,0.18576613487108717,298.03840595068465,0
0.6424832759955477,0.8101788548290221,0.5220123013665123,298.48313938979766,0
0.46841664124677096,0.2832103254048223,0.6718541886140673,316.66206196172,1
0.2594398398545342,0.27545438424520147,0.960586962506625,316.8931350749394,1
0.04517311698942639,0.4142734624193929,0.3709123215416692,310.63664727852074,1
0.4814913403262807,0.3552663858713389,0.4250817675141312,313.7156301446729,1
0.9593323476356084,0.013288882498645849,0.8121229611870592,312.1133599021224,1
0.6525192007526632,0.024729568573007843,0.5057623147427412,312.7101102903243,1
0.4955065566286184,0.30077922622800785,0.736573093115733,316.06845769299866,1
0.11069207402961612,0.24309603781113776,0.45970946445359206,317.63197449481413,1
0.25243629054958727,0.1300923276714957,0.21549514181270046,317.04608268416484,1
0.2947739495745427,0.20932804365740082,0.7452038427810108,317.98260508926717,1
0.7648035526072343,0.37895515936643026,0.13115516918470993,312.5193578456917,1
0.8767107972646193,0.413305742328965,0.19858366353130807,310.6890431431061,1
0.9016418535664384,0.2806115339450221,0.6268249827842086,316.7416829780528,1
0.9845686082507541,0.1926847404285515,0.7472698001920698,317.9893002586133,1
0.9823666831045325,0.1353483807475535,0.894687886867815,317.18126372320046,1
0.9529991327679814,0.26095923538462673,0.2725864974158917,317.27043372134074,1
0.07182214050288438,0.1573748092821905,0.11072425860055435,317.6398998714182,1
0.1377935359278052,0.28204756852361146,0.9560466595226291,316.69795647631406,1
0.3044665264760329,0.33832619125481883,0.15442308802214244,314.5170126874458,1
0.5528982540644615,0.03303960545969742,0.19766698225463952,313.1344641946111,1
0.0969778887054793,0.0005337325113736191,0.29132945355846573,311.43501495085377,1
0.8457969578021425,0.10613856942037148,0.5293913540262875,316.3133919370173,1
0.6167561790773091,0.4472557488593905,0.882825566034078,308.85231281685,1
0.542364402302205,0.3231453816142796,0.7605460227298669,315.1858165324154,1
0.16531132336729115,0.08598017596851143,0.7081575538426351,315.56181724892554,1
0.25325547440019736,0.4451319809118094,0.17518056785600367,308.9663927643537,1
0.16031202498225805,0.23497797014367,0.35768263152597424,317.7567990855492,1
0.8519331577947986,0.23804587833933033,0.47840492608667795,317.71258737937296,1
