x,z,rho
1.848739433288574219e+01,3.797468245029449463e-01,1.013533949851989746e+00
1.890756225585937500e+01,3.797468245029449463e-01,1.012872695922851562e+00
1.932773017883300781e+01,3.797468245029449463e-01,1.012183904647827148e+00
1.974790000915527344e+01,3.797468245029449463e-01,1.011459112167358398e+00
2.016806793212890625e+01,3.797468245029449463e-01,1.010688424110412598e+00
2.058823585510253906e+01,3.797468245029449463e-01,1.009859204292297363e+00
2.100840377807617188e+01,3.797468245029449463e-01,1.008956313133239746e+00
2.142857170104980469e+01,3.797468245029449463e-01,1.007959485054016113e+00
2.184873962402343750e+01,3.797468245029449463e-01,1.006842494010925293e+00
2.226890754699707031e+01,3.797468245029449463e-01,1.005568981170654297e+00
2.268907546997070312e+01,3.797468245029449463e-01,1.004088640213012695e+00
2.310924339294433594e+01,3.797468245029449463e-01,1.002330064773559570e+00
2.352941131591796875e+01,3.797468245029449463e-01,1.000189542770385742e+00
2.394957923889160156e+01,3.797468245029449463e-01,9.975129961967468262e-01
2.436974716186523438e+01,3.797468245029449463e-01,9.940704703330993652e-01
2.478991508483886719e+01,3.797468245029449463e-01,9.895114302635192871e-01
2.521008491516113281e+01,3.797468245029449463e-01,9.833009839057922363e-01
2.563025283813476562e+01,3.797468245029449463e-01,9.746240973472595215e-01
2.605042076110839844e+01,3.797468245029449463e-01,9.622611999511718750e-01
2.647058868408203125e+01,3.797468245029449463e-01,9.444629549980163574e-01
2.689075660705566406e+01,3.797468245029449463e-01,9.189286231994628906e-01
2.731092453002929688e+01,3.797468245029449463e-01,8.831256628036499023e-01
2.773109245300292969e+01,3.797468245029449463e-01,8.352753520011901855e-01
2.815126037597656250e+01,3.797468245029449463e-01,7.759796977043151855e-01
2.857142829895019531e+01,3.797468245029449463e-01,7.093349695205688477e-01
2.899159622192382812e+01,3.797468245029449463e-01,6.417164206504821777e-01
2.941176414489746094e+01,3.797468245029449463e-01,5.784444808959960938e-01
2.983193206787109375e+01,3.797468245029449463e-01,5.213590860366821289e-01
3.025209999084472656e+01,3.797468245029449463e-01,4.691306054592132568e-01
3.067226982116699219e+01,3.797468245029449463e-01,4.190653860569000244e-01
3.109243774414062500e+01,3.797468245029449463e-01,3.686909377574920654e-01
3.151260566711425781e+01,3.797468245029449463e-01,3.166975080966949463e-01
3.193277359008789062e+01,3.797468245029449463e-01,2.635082304477691650e-01
3.235293960571289062e+01,3.797468245029449463e-01,2.115036696195602417e-01
3.277310943603515625e+01,3.797468245029449463e-01,1.643995493650436401e-01
3.319327545166015625e+01,3.797468245029449463e-01,1.255365759134292603e-01
3.361344528198242188e+01,3.797468245029449463e-01,9.617822617292404175e-02
3.403361511230468750e+01,3.797468245029449463e-01,7.534750550985336304e-02
3.445378112792968750e+01,3.797468245029449463e-01,6.099008023738861084e-02
3.487395095825195312e+01,3.797468245029449463e-01,5.109764263033866882e-02
3.529411697387695312e+01,3.797468245029449463e-01,4.416263848543167114e-02
3.571428680419921875e+01,3.797468245029449463e-01,3.917779028415679932e-02
3.613445281982421875e+01,3.797468245029449463e-01,3.549942746758460999e-02
3.655462265014648438e+01,3.797468245029449463e-01,3.271772712469100952e-02
3.697478866577148438e+01,3.797468245029449463e-01,3.056760691106319427e-02
3.739495849609375000e+01,3.797468245029449463e-01,2.887307293713092804e-02
3.781512451171875000e+01,3.797468245029449463e-01,2.751384489238262177e-02
