x,y,t,u
-0.6875,0.25,0.0,5.447214609437833e-09
-0.6875,0.3125,0.0,9.173211225849354e-09
-0.6875,0.375,0.0,1.1429966668473369e-08
-0.6875,0.4375,0.0,1.1213381746335452e-08
-0.6875,0.5,0.0,8.445205313725158e-09
-0.6875,0.5625,0.0,4.6212875869986526e-09
-0.6875,0.625,0.0,1.9858356003011596e-09
-0.6875,0.6875,0.0,5.50768038183045e-10
-0.6875,0.75,0.0,1.0327648085886329e-10
-0.6875,0.8125,0.0,1.4810316158110608e-11
-0.6875,0.875,0.0,1.7867328645345978e-12
-0.6875,0.9375,0.0,1.6206048351092076e-13
-0.6875,1.0,0.0,7.022430757088547e-15
-0.625,-1.0,0.0,4.897863078809525e-41
-0.625,-0.9375,0.0,2.173926329103206e-37
-0.625,-0.875,0.0,6.378217400505141e-35
-0.625,-0.8125,0.0,2.0830586245795403e-32
-0.625,-0.75,0.0,9.771841795937709e-30
-0.625,-0.6875,0.0,5.732785950742576e-27
-0.625,-0.625,0.0,3.338624920532279e-24
-0.625,-0.5625,0.0,1.3440490605987185e-21
-0.625,-0.5,0.0,4.6510692702134715e-21
-0.625,-0.4375,0.0,1.816598096117568e-18
-0.625,-0.375,0.0,3.309767401647989e-16
-0.625,-0.3125,0.0,9.77446099169642e-16
-0.625,-0.25,0.0,1.2205199276759586e-13
-0.625,-0.1875,0.0,4.261292833503705e-12
-0.625,-0.125,0.0,1.6671219942454217e-11
-0.625,-0.0625,0.0,3.784299002500929e-10
-0.625,0.0,0.0,9.103519716853505e-10
-0.625,0.0625,0.0,1.0336683704744278e-08
-0.625,0.125,0.0,3.8171188277329187e-08
-0.625,0.1875,0.0,1.0379802989455717e-07
-0.625,0.25,0.0,2.3688660416097646e-07
-0.625,0.3125,0.0,3.989214694750316e-07
-0.625,0.375,0.0,4.970624775966445e-07
-0.625,0.4375,0.0,4.876437066473916e-07
-0.625,0.5,0.0,3.6726219759075206e-07
-0.625,0.5625,0.0,2.0096897255317875e-07
